text_id,label
0,other
1,other
2,other
3,other
4,construction
5,other
6,other
7,other
8,other
9,it
10,other
11,other
12,other
13,other
14,other
15,other
16,other
17,other
18,other
19,other
20,other
21,other
22,other
23,other
24,other
25,other
26,other
27,other
28,other
29,other
30,other
31,other
32,other
33,other
34,other
35,other
36,other
37,other
38,medicine
39,other
40,other
41,other
42,other
43,other
44,other
45,other
46,other
47,other
48,other
49,other
50,other
51,other
52,other
53,other
54,construction
55,other
56,other
57,other
58,other
59,other
60,it
61,other
62,other
63,other
64,medicine
65,other
66,other
67,other
68,other
69,other
70,medicine
71,other
72,other
73,other
74,other
75,other
76,other
77,other
78,other
79,other
80,other
81,medicine
82,other
83,other
84,other
85,medicine
86,other
87,other
88,other
89,other
90,other
91,other
92,other
93,other
94,other
95,other
96,medicine
97,other
98,other
99,other
100,other
101,other
102,other
103,other
104,medicine
105,other
106,other
107,other
108,other
109,other
110,other
111,other
112,other
113,other
114,other
115,other
116,other
117,other
118,medicine
119,other
120,other
121,other
122,other
123,other
124,other
125,other
126,other
127,other
128,other
129,other
130,other
131,other
132,other
133,other
134,other
135,other
136,other
137,other
138,other
139,it
140,other
141,other
142,other
143,other
144,other
145,other
146,construction
147,other
148,other
149,other
150,other
151,other
152,other
153,other
154,other
155,construction
156,other
157,other
158,other
159,other
160,construction
161,other
162,other
163,other
164,other
165,construction
166,other
167,other
168,other
169,other
170,other
171,other
172,other
173,other
174,other
175,other
176,other
177,other
178,construction
179,construction
180,other
181,other
182,other
183,other
184,other
185,other
186,other
187,other
188,other
189,other
190,other
191,other
192,other
193,other
194,construction
195,other
196,other
197,other
198,other
199,other
200,construction
201,other
202,other
203,other
204,other
205,other
206,other
207,other
208,other
209,other
210,other
211,other
212,other
213,other
214,other
215,other
216,other
217,other
218,other
219,other
220,other
221,other
222,other
223,other
224,other
225,other
226,other
227,other
228,other
229,other
230,other
231,other
232,other
233,other
234,other
235,other
236,other
237,other
238,other
239,other
240,other
241,other
242,other
243,other
244,other
245,other
246,other
247,other
248,other
249,medicine
250,other
251,other
252,other
253,other
254,construction
255,construction
256,other
257,other
258,other
259,other
260,other
261,other
262,other
263,other
264,other
265,other
266,other
267,it
268,it
269,medicine
270,other
271,other
272,other
273,medicine
274,other
275,other
276,other
277,other
278,other
279,medicine
280,other
281,other
282,other
283,other
284,other
285,construction
286,construction
287,construction
288,other
289,other
290,other
291,other
292,other
293,other
294,other
295,other
296,other
297,other
298,other
299,other
300,other
301,other
302,other
303,other
304,other
305,other
306,other
307,other
308,other
309,other
310,other
311,other
312,other
313,other
314,other
315,other
316,other
317,other
318,other
319,other
320,other
321,other
322,other
323,other
324,medicine
325,other
326,other
327,other
328,other
329,other
330,other
331,construction
332,other
333,other
334,other
335,other
336,other
337,other
338,other
339,other
340,other
341,other
342,other
343,other
344,other
345,other
346,other
347,other
348,other
349,construction
350,other
351,medicine
352,medicine
353,other
354,other
355,other
356,other
357,other
358,other
359,other
360,medicine
361,other
362,other
363,other
364,other
365,medicine
366,medicine
367,other
368,other
369,other
370,other
371,other
372,other
373,it
374,other
375,other
376,other
377,medicine
378,it
379,construction
380,it
381,other
382,other
383,other
384,other
385,other
386,it
387,other
388,other
389,other
390,other
391,other
392,other
393,other
394,other
395,other
396,construction
397,other
398,other
399,other
400,other
401,other
402,other
403,other
404,other
405,construction
406,other
407,other
408,other
409,other
410,other
411,other
412,other
413,other
414,other
415,other
416,other
417,other
418,other
419,other
420,other
421,construction
422,other
423,other
424,other
425,other
426,construction
427,construction
428,other
429,other
430,other
431,other
432,other
433,other
434,other
435,other
436,other
437,other
438,other
439,other
440,other
441,construction
442,other
443,construction
444,construction
445,other
446,other
447,other
448,construction
449,construction
450,it
451,other
452,other
453,other
454,other
455,other
456,other
457,other
458,other
459,construction
460,other
461,construction
462,other
463,other
464,other
465,other
466,other
467,other
468,other
469,other
470,construction
471,other
472,it
473,other
474,other
475,other
476,other
477,other
478,other
479,it
480,other
481,other
482,other
483,construction
484,construction
485,other
486,other
487,other
488,other
489,other
490,other
491,other
492,other
493,other
494,other
495,other
496,other
497,other
498,other
499,construction
500,construction
501,other
502,other
503,other
504,other
505,other
506,other
507,other
508,other
509,construction
510,other
511,construction
512,other
513,other
514,other
515,other
516,other
517,other
518,other
519,other
520,other
521,other
522,other
523,other
524,other
525,other
526,other
527,other
528,other
529,other
530,other
531,other
532,other
533,other
534,other
535,other
536,other
537,other
538,construction
539,other
540,other
541,other
542,other
543,other
544,other
545,other
546,other
547,other
548,other
549,other
550,other
551,other
552,other
553,other
554,other
555,other
556,other
557,it
558,other
559,other
560,other
561,other
562,other
563,it
